Category,Description,Nutrient Data Bank Number,Carbohydrate,Cholesterol,Choline,Protein,SugarTotal,Water,MonosaturatedFat,FatPolysaturated,SaturatedFat,Fat,Vitamin
Cheese,"Cheese, cottage cheese, with gelatin dessert and vegetables",14610250,6.27,11,12.9,7.71,5.37,82.12,0.514,0.087,1.136,2.85,44
Cheese ball,Cheese ball,14610520,5.57,71,27.4,18.09,1.74,35.32,7.934,11.122,14.637,38.06,206
Artichoke dip,Artichoke dip,14620110,5.47,39,24.1,3.65,2.08,55.65,7.527,15.171,8.274,33.12,62
Spinach and artichoke dip,Spinach and artichoke dip,14620115,4.76,39,26.5,4,1.52,55.79,7.524,15.211,8.291,33.21,141
Seafood dip,Seafood dip,14620130,3.89,73,30.2,5.97,1.95,54.56,7.54,15.243,8.288,33.25,61
Cheese dip with chili pepper,Cheese dip with chili pepper,14620150,11.14,9,7.9,3.14,1.95,73.72,2.762,3.643,2.491,9.51,33
Cheese dip,Cheese dip,14620200,7.66,8,3.1,3.24,0.29,74.1,5.066,4.339,3.097,13.02,20
Topping from cheese pizza,Topping from cheese pizza,14620300,7.62,45,14.3,16.86,4.38,57.35,3.366,0.793,8.024,14.67,156
Topping from vegetable pizza,Topping from vegetable pizza,14620310,12.18,40,18.5,15.59,5.75,52.83,4.803,0.891,7.622,15.61,146
Topping from meat pizza,Topping from meat pizza,14620320,5.65,68,36.8,19.19,3.2,46.9,8.921,2.698,10.647,24.52,105
Topping from meat and vegetable pizza,Topping from meat and vegetable pizza,14620330,7.66,61,35.2,17.55,4.09,49.29,8,2.445,9.55,22.03,98
Cheese fondue,Cheese fondue,14630100,1.93,68,10.6,19.31,0.53,55.05,5.788,0.966,12.415,21.2,188
Cheese souffle,Cheese souffle,14630200,6.29,144,76.3,9.45,2.46,66.86,4.139,1.031,8.669,15.7,179
Welsh rarebit,Welsh rarebit,14630300,6.33,26,14.6,7.49,4.22,72.4,3.682,1.481,5.377,12.12,150
Cheese sandwich,"Cheese sandwich, NFS",14640000,32.58,32,23.3,12.17,5.71,39.56,2.75,1.508,5.807,11.61,111
Cheese sandwich,"Cheese sandwich, American cheese, on white bread, no spread",14640002,32.58,32,23.3,12.17,5.71,39.56,2.75,1.508,5.807,11.61,111
Cheese sandwich,"Cheese sandwich, American cheese, on wheat bread, no spread",14640004,30.36,32,27.3,13.33,5.63,40.29,2.712,1.329,5.748,11.83,111
Cheese sandwich,"Cheese sandwich, American cheese, on whole wheat bread, no spread",14640006,30.36,32,27.3,13.33,5.63,40.29,2.712,1.329,5.748,11.83,111
Cheese sandwich,"Cheese sandwich, Cheddar cheese, on white bread, no spread",14640008,29.95,41,15.4,15.14,3.28,36.07,3.485,1.586,8.389,16.11,130
Cheese sandwich,"Cheese sandwich, Cheddar cheese, on wheat bread, no spread",14640010,27.72,41,19.3,16.3,3.2,36.8,3.447,1.407,8.329,16.34,130
Cheese sandwich,"Cheese sandwich, Cheddar cheese, on whole wheat bread, no spread",14640012,27.72,41,19.3,16.3,3.2,36.8,3.447,1.407,8.329,16.34,130
Cheese sandwich,"Cheese sandwich, reduced fat American cheese, on white bread, no spread",14640014,33.31,22,23.5,12.79,6.44,42.33,2.122,1.269,4.127,7.92,103
Cheese sandwich,"Cheese sandwich, reduced fat American cheese, on wheat bread, no spread",14640016,31.08,22,27.4,13.95,6.36,43.06,2.084,1.09,4.068,8.14,103
Cheese sandwich,"Cheese sandwich, reduced fat American cheese, on whole wheat bread, no spread",14640018,31.08,22,27.4,13.95,6.36,43.06,2.084,1.09,4.068,8.14,103
Cheese sandwich,"Cheese sandwich, reduced fat Cheddar cheese, on white bread, no spread",14640020,30.04,31,14.9,16.81,3.25,39.24,2.606,1.468,5.672,10.52,60
Cheese sandwich,"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, no spread",14640022,27.82,31,18.9,17.97,3.17,39.97,2.568,1.289,5.613,10.74,60
Cheese sandwich,"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, no spread",14640024,27.82,31,18.9,17.97,3.17,39.97,2.568,1.289,5.613,10.74,60
Cheese sandwich,"Cheese sandwich, American cheese, on white bread, with mayonnaise",14640026,28.72,33,24.6,10.82,5.09,37.4,4.451,6.719,6.519,19.24,100
Cheese sandwich,"Cheese sandwich, American cheese, on wheat bread, with mayonnaise",14640028,26.77,33,28.1,11.84,5.02,38.04,4.418,6.562,6.467,19.44,100
Cheese sandwich,"Cheese sandwich, American cheese, on whole wheat bread, with mayonnaise",14640030,26.77,33,28.1,11.84,5.02,38.04,4.418,6.562,6.467,19.44,100
Cheese sandwich,"Cheese sandwich, Cheddar cheese, on white bread, with mayonnaise",14640032,26.4,41,17.7,13.43,2.95,34.33,5.097,6.788,8.789,23.2,116
Cheese sandwich,"Cheese sandwich, Cheddar cheese, on wheat bread, with mayonnaise",14640034,24.45,41,21.1,14.45,2.88,34.98,5.064,6.631,8.737,23.4,116
Cheese sandwich,"Cheese sandwich, Cheddar cheese, on whole wheat bread, with mayonnaise",14640036,24.45,41,21.1,14.45,2.88,34.98,5.064,6.631,8.737,23.4,116
Cheese sandwich,"Cheese sandwich, reduced fat American cheese, on white bread, with mayonnaise",14640038,29.36,24,24.8,11.37,5.74,39.83,3.899,6.509,5.041,16,92
Cheese sandwich,"Cheese sandwich, reduced fat American cheese,, on wheat bread, with mayonnaise",14640040,27.4,24,28.2,12.38,5.66,40.48,3.865,6.352,4.989,16.2,92
Cheese sandwich,"Cheese sandwich, reduced fat American cheese, on whole wheat bread, with mayonnaise",14640042,27.4,24,28.2,12.38,5.66,40.48,3.865,6.352,4.989,16.2,92
Cheese sandwich,"Cheese sandwich, reduced fat Cheddar cheese, on white bread, with mayonnaise",14640044,26.48,33,17.3,14.9,2.92,37.11,4.324,6.684,6.4,18.28,54
Cheese sandwich,"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, with mayonnaise",14640046,24.53,33,20.7,15.92,2.86,37.76,4.29,6.527,6.348,18.48,54
Cheese sandwich,"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, with mayonnaise",14640048,24.53,33,20.7,15.92,2.86,37.76,4.29,6.527,6.348,18.48,54
Cheese sandwich,"Cheese sandwich, American cheese, on white bread, with butter",14640050,28.7,44,22.4,10.77,5.03,37.52,5.11,2.798,9.447,19.22,187
Cheese sandwich,"Cheese sandwich, American cheese, on wheat bread, with butter",14640052,26.74,44,25.8,11.79,4.96,38.16,5.077,2.641,9.395,19.42,187
Cheese sandwich,"Cheese sandwich, American cheese, on whole wheat bread, with butter",14640054,26.74,44,25.8,11.79,4.96,38.16,5.077,2.641,9.395,19.42,187
Cheese sandwich,"Cheese sandwich, Cheddar cheese, on white bread, with butter",14640056,26.38,52,15.4,13.38,2.89,34.45,5.757,2.867,11.717,23.18,203
Cheese sandwich,"Cheese sandwich, Cheddar cheese, on wheat bread, with butter",14640058,24.42,52,18.9,14.4,2.82,35.09,5.723,2.71,11.665,23.38,203
Cheese sandwich,"Cheese sandwich, Cheddar cheese, on whole wheat bread, with butter",14640060,24.42,52,18.9,14.4,2.82,35.09,5.723,2.71,11.665,23.38,203
Cheese sandwich,"Cheese sandwich, reduced fat American cheese, on white bread, with butter",14640062,29.33,35,22.5,11.32,5.67,39.95,4.558,2.588,7.97,15.98,180
Cheese sandwich,"Cheese sandwich, reduced fat American cheese, on wheat bread, with butter",14640064,27.38,35,26,12.34,5.6,40.6,4.525,2.431,7.917,16.18,180
Cheese sandwich,"Cheese sandwich, reduced fat American cheese, on whole wheat bread, with butter",14640066,27.38,35,26,12.34,5.6,40.6,4.525,2.431,7.917,16.18,180
Cheese sandwich,"Cheese sandwich, reduced fat Cheddar cheese, on white bread, with butter",14640068,26.46,43,15,14.85,2.86,37.23,4.983,2.763,9.328,18.26,142
Cheese sandwich,"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, with butter",14640070,24.5,43,18.5,15.87,2.79,37.88,4.95,2.606,9.276,18.46,142
Cheese sandwich,"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, with butter",14640072,24.5,43,18.5,15.87,2.79,37.88,4.95,2.606,9.276,18.46,142
Grilled cheese sandwich,"Grilled cheese sandwich, NFS",14640100,28.7,44,21.7,10.77,5.03,37.52,5.11,2.798,9.447,19.22,187
Grilled cheese sandwich,"Grilled cheese sandwich, American cheese, on white bread",14640105,28.7,44,21.7,10.77,5.03,37.52,5.11,2.798,9.447,19.22,187
Grilled cheese sandwich,"Grilled cheese sandwich, American cheese, on wheat bread",14640110,26.74,44,25.2,11.79,4.96,38.16,5.077,2.641,9.395,19.42,187
Grilled cheese sandwich,"Grilled cheese sandwich, American cheese, on whole wheat bread",14640115,26.74,44,25.2,11.79,4.96,38.16,5.077,2.641,9.395,19.42,187
Grilled cheese sandwich,"Grilled cheese sandwich, Cheddar cheese, on white bread",14640125,26.38,52,15.1,13.38,2.89,34.45,5.757,2.867,11.717,23.18,203
Grilled cheese sandwich,"Grilled cheese sandwich, Cheddar cheese, on wheat bread",14640130,24.42,52,18.6,14.4,2.82,35.09,5.723,2.71,11.665,23.38,203
Grilled cheese sandwich,"Grilled cheese sandwich, Cheddar cheese, on whole wheat bread",14640135,24.42,52,18.6,14.4,2.82,35.09,5.723,2.71,11.665,23.38,203
Grilled cheese sandwich,"Grilled cheese sandwich, reduced fat American cheese, on white bread",14640155,29.33,35,21.9,11.32,5.67,39.95,4.558,2.588,7.97,15.98,180
Grilled cheese sandwich,"Grilled cheese sandwich, reduced fat American cheese, on wheat bread",14640160,27.38,35,25.3,12.34,5.6,40.6,4.525,2.431,7.917,16.18,180
Grilled cheese sandwich,"Grilled cheese sandwich, reduced fat American cheese, on whole wheat bread",14640165,27.38,35,25.3,12.34,5.6,40.6,4.525,2.431,7.917,16.18,180
Grilled cheese sandwich,"Grilled cheese sandwich, reduced fat Cheddar cheese, on white bread",14640185,26.46,43,14.7,14.85,2.86,37.23,4.983,2.763,9.328,18.26,142
Grilled cheese sandwich,"Grilled cheese sandwich, reduced fat Cheddar cheese, on wheat bread",14640190,24.5,43,18.2,15.87,2.79,37.88,4.95,2.606,9.276,18.46,142
Grilled cheese sandwich,"Grilled cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread",14640195,24.5,43,18.2,15.87,2.79,37.88,4.95,2.606,9.276,18.46,142
Cheese sauce,Cheese sauce,14650100,7.66,8,3.1,3.24,0.29,74.1,5.066,4.339,3.097,13.02,20
Alfredo sauce,Alfredo sauce,14650160,1.48,46,6.4,2.37,0.88,79.26,3.8,0.64,9.518,15.12,159
Alfredo sauce with added vegetables,Alfredo sauce with added vegetables,14650165,2.32,35,7.8,2.28,1.43,82.25,2.908,0.524,7.295,11.64,131
Alfredo sauce with meat,Alfredo sauce with meat,14650170,1.2,54,20.3,6.72,0.72,74.96,4.493,0.613,8.943,15.44,130
Alfredo sauce with meat and added vegetables,Alfredo sauce with meat and added vegetables,14650175,1.88,45,21.4,6.64,1.16,77.39,3.768,0.519,7.137,12.61,107
Alfredo sauce with poultry,Alfredo sauce with poultry,14650180,1.2,54,18.1,7.1,0.72,76.53,3.544,0.837,8.062,13.59,132
Alfredo sauce with poultry and added vegetables,Alfredo sauce with poultry and added vegetables,14650185,1.88,45,19.2,7.03,1.16,78.95,2.82,0.743,6.256,10.76,109
Alfredo sauce with seafood,Alfredo sauce with seafood,14650190,1.76,66,22.9,6.11,0.72,77.63,3.116,0.614,7.78,12.56,143
Alfredo sauce with seafood and added vegetables,Alfredo sauce with seafood and added vegetables,14650195,2.43,57,24,6.04,1.16,80.05,2.391,0.52,5.974,9.74,120
Mozzarella sticks,"Mozzarella sticks, breaded, baked, or fried",14660200,25.14,36,9.9,14.75,2.36,38.44,4.328,4.982,6.848,18.33,99
Mozzarella cheese,"Mozzarella cheese, tomato, and basil, with oil and vinegar dressing",14670000,3.86,18,8,7.17,2.32,76.67,2.812,2.716,4.18,10.87,89
Cheddar cheese soup,"Cheddar cheese soup, home recipe, canned or ready-to-serve",14710100,8.12,6,15.1,2.06,4.3,85.32,0.758,0.09,1.814,2.97,64
Beer cheese soup,"Beer cheese soup, made with milk",14710200,6.52,45,9.3,6.19,0.8,69.88,3.659,0.616,9.224,15.43,182
Meat,"Meat, NFS",20000000,0,89,85.3,29.65,0,60.52,3.876,0.416,3.22,8.3,1
Meat,"Meat, baby food, NS as to type, NS as to strained or junior",20000070,1.26,56,40.4,12.86,0,79.97,2.255,1.04,1.605,5.21,3
Meat sticks,"Meat sticks, baby food, NS as to type of meat",20000090,1.1,70,56.8,13.4,0.8,69.5,6.48,1.59,5.82,14.6,21
Ground meat,"Ground meat, NFS",20000200,0,87,80.2,25.54,0,56.32,7.497,0.495,6.453,16.82,3
Beef,"Beef, NS as to cut, cooked, NS as to fat eaten",21000100,0,81,93,29.23,0,62.46,2.926,0.333,2.643,6.75,1
Beef,"Beef, NS as to cut, cooked, lean and fat eaten",21000110,0,87,86.7,27.06,0,58.14,6.005,0.595,5.576,13.44,3
Beef,"Beef, NS as to cut, cooked, lean only eaten",21000120,0,81,93,29.23,0,62.46,2.926,0.333,2.643,6.75,1
Steak,"Steak, NS as to type of meat, cooked, NS as to fat eaten",21001000,0,81,93,29.23,0,62.46,2.926,0.333,2.643,6.75,1
Steak,"Steak, NS as to type of meat, cooked, lean and fat eaten",21001010,0,87,84.3,27.06,0,58.14,6.005,0.595,5.576,13.44,3
Steak,"Steak, NS as to type of meat, cooked, lean only eaten",21001020,0,81,93,29.23,0,62.46,2.926,0.333,2.643,6.75,1
Beef,"Beef, pickled",21002000,0.47,98,69.2,18.17,0,59.79,9.22,0.67,6.34,18.98,0
Beef,"Beef, NS as to cut, fried, NS to fat eaten",21003000,0,81,93,29.23,0,62.46,2.926,0.333,2.643,6.75,1
Beef steak,"Beef steak, NS as to cooking method, NS as to fat eaten",21101000,0,81,93,29.23,0,62.46,2.926,0.333,2.643,6.75,1
Beef steak,"Beef steak, NS as to cooking method, lean and fat eaten",21101010,0,87,86.7,27.06,0,58.14,6.005,0.595,5.576,13.44,3
Beef steak,"Beef steak, NS as to cooking method, lean only eaten",21101020,0,81,93,29.23,0,62.46,2.926,0.333,2.643,6.75,1
Beef steak,"Beef steak, broiled or baked, NS as to fat eaten",21101110,0,81,93,29.23,0,62.46,2.926,0.333,2.643,6.75,1
Beef steak,"Beef steak, broiled or baked, lean and fat eaten",21101120,0,87,86.7,27.06,0,58.14,6.005,0.595,5.576,13.44,3
Beef steak,"Beef steak, broiled or baked, lean only eaten",21101130,0,81,93,29.23,0,62.46,2.926,0.333,2.643,6.75,1
Beef steak,"Beef steak, fried, NS as to fat eaten",21102110,0,81,93,29.23,0,62.46,2.926,0.333,2.643,6.75,1
Beef steak,"Beef steak, fried, lean and fat eaten",21102120,0,87,86.7,27.06,0,58.14,6.005,0.595,5.576,13.44,3
Beef steak,"Beef steak, fried, lean only eaten",21102130,0,81,93,29.23,0,62.46,2.926,0.333,2.643,6.75,1
Beef steak,"Beef steak, breaded or floured, baked or fried, NS as to fat eaten",21103110,12.16,59,54.7,25.02,1.28,49.92,4.749,2.602,3.129,11.03,5
Beef steak,"Beef steak, breaded or floured, baked or fried, lean and fat eaten",21103120,12.16,60,54.4,24.39,1.28,48.08,5.956,2.699,4.241,13.48,6
Beef steak,"Beef steak, breaded or floured, baked or fried, lean only eaten",21103130,12.16,59,54.7,25.02,1.28,49.92,4.749,2.602,3.129,11.03,5
Beef steak,"Beef steak, battered, fried, NS as to fat eaten",21104110,9.96,124,92.3,21.2,0.07,55.73,5.18,2.12,3.894,11.79,28
Beef steak,"Beef steak, battered, fried, lean and fat eaten",21104120,11.02,130,94.8,19.86,0.08,53.36,6.308,2.369,4.86,14.2,31
Beef steak,"Beef steak, battered, fried, lean only eaten",21104130,11.02,129,95,20.34,0.08,54.8,5.365,2.294,3.992,12.28,30
Beef steak,"Beef steak, braised, NS as to fat eaten",21105110,0,105,117.3,30.8,0,54.35,5.682,0.436,5.117,13.19,0
Beef steak,"Beef steak, braised, lean and fat eaten",21105120,0,105,117.3,30.8,0,54.35,5.682,0.436,5.117,13.19,0
Beef steak,"Beef steak, braised, lean only eaten",21105130,0,76,68.7,28.94,0,64.08,2.483,0.375,2.15,5.34,2
Beef,"Beef, oxtails, cooked",21301000,0,105,117.3,30.8,0,54.35,5.682,0.436,5.117,13.19,0
Beef,"Beef, neck bones, cooked",21302000,0,119,113.7,29.87,0,50.03,8.207,0.724,7.557,19.06,0
Beef,"Beef, shortribs, cooked, NS as to fat eaten",21304000,0,92,116.2,30.5,0,49.74,7.914,0.545,7.676,17.98,0
Beef,"Beef, shortribs, cooked, lean and fat eaten",21304110,0,93,81.5,21.39,0,35.43,18.723,1.517,17.652,41.63,0
Beef,"Beef, shortribs, cooked, lean only eaten",21304120,0,92,116.2,30.5,0,49.74,7.914,0.545,7.676,17.98,0
Beef,"Beef, shortribs, barbecued, with sauce, NS as to fat eaten",21304200,12.74,69,62,15.98,10.39,38.98,13.792,1.147,12.993,30.81,3
Beef,"Beef, shortribs, barbecued, with sauce, lean and fat eaten",21304210,12.74,69,62,15.98,10.39,38.98,13.792,1.147,12.993,30.81,3
Beef,"Beef, shortribs, barbecued, with sauce, lean only eaten",21304220,12.74,68,87.5,22.68,10.39,49.5,5.844,0.433,5.658,13.42,3
Beef,"Beef, cow head, cooked",21305000,0,86,82.6,25.89,0,56.5,7.345,0.727,6.726,16.45,3
Beef,"Beef, roast, roasted, NS as to fat eaten",21401000,0,75,91.7,28.57,0,65.31,2.048,0.259,1.781,4.94,1
Beef,"Beef, roast, roasted, lean and fat eaten",21401110,0,76,79,29.65,0,64.03,1.902,0.298,1.657,4.45,4
Beef,"Beef, roast, roasted, lean only eaten",21401120,0,76,72,29.13,0,65.82,1.587,0.283,1.368,3.71,1
Beef,"Beef, roast, canned",21401400,0,82,104.5,27.45,0,61.56,4.68,0.44,4.24,11.34,0
Beef,"Beef, pot roast, braised or boiled, NS as to fat eaten",21407000,0,105,117.3,30.8,0,54.35,5.682,0.436,5.117,13.19,0
Beef,"Beef, pot roast, braised or boiled, lean and fat eaten",21407110,0,77,72,29.09,0,64.97,1.928,0.303,1.679,4.34,3
Beef,"Beef, pot roast, braised or boiled, lean only eaten",21407120,0,105,117.3,30.8,0,54.35,5.682,0.436,5.117,13.19,0
Beef,"Beef, stew meat, cooked, NS as to fat eaten",21410000,0,105,117.3,30.8,0,54.35,5.682,0.436,5.117,13.19,0
Beef,"Beef, stew meat, cooked, lean and fat eaten",21410110,0,89,129.7,34.05,0,54.23,4.115,0.417,3.749,10.05,0
Beef,"Beef, stew meat, cooked, lean only eaten",21410120,0,105,117.3,30.8,0,54.35,5.682,0.436,5.117,13.19,0
Corned beef,"Corned beef, cooked, NS as to fat eaten",21416000,0.47,98,69.2,18.17,0,59.79,9.22,0.67,6.34,18.98,0
Corned beef,"Corned beef, cooked, lean and fat eaten",21416110,0.47,98,69.2,18.17,0,59.79,9.22,0.67,6.34,18.98,0
Corned beef,"Corned beef, cooked, lean only eaten",21416120,0,86,89.2,27.1,0,57.72,5.96,0.63,6.18,14.93,0
Corned beef,"Corned beef, canned, ready-to-eat",21416150,0,86,89.2,27.1,0,57.72,5.96,0.63,6.18,14.93,0
Beef brisket,"Beef brisket, cooked, NS as to fat eaten",21417100,0,92,112.4,29.5,0,57.23,4.611,0.298,3.6,10,0
Beef brisket,"Beef brisket, cooked, lean and fat eaten",21417110,0,92,101.2,26.57,0,51.11,8.608,0.664,7.467,19.36,0
Beef brisket,"Beef brisket, cooked, lean only eaten",21417120,0,92,112.4,29.5,0,57.23,4.611,0.298,3.6,10,0
Beef,"Beef, sandwich steak, flaked, formed, thinly sliced",21420100,0,73,74.1,18.41,0,53.17,11.85,0.992,11.69,27.81,0
Ground beef,"Ground beef, raw",21500000,0,71,57.3,17.44,0,62.58,8.48,0.505,7.291,19.07,4
Ground beef,"Ground beef, cooked",21500100,0,87,80.2,25.54,0,56.32,7.497,0.495,6.453,16.82,3
Ground beef patty,"Ground beef patty, cooked",21500310,0,87,79.4,25.45,0,55.2,8.194,0.514,6.95,18.18,3
Beef,"Beef, bacon, cooked",21601000,1.4,119,119.2,31.3,0,26.2,16.85,1.58,14.35,34.4,0
Beef,"Beef, bacon, reduced sodium, cooked",21601010,1.43,110,123.2,37.04,0,12.32,18.52,4.548,13.739,41.78,11
Beef,"Beef, dried, chipped, uncooked",21602000,2.76,79,0,31.1,2.7,53.8,0.84,0.07,0.95,1.94,0
Beef,"Beef, dried, chipped, cooked in fat",21602010,2.5,81,4.8,28.12,2.44,48.65,5.075,1.135,4.61,11.32,0
Beef jerky,Beef jerky,21602100,11,48,109.1,33.2,9,23.36,11.305,1.011,10.85,25.6,0
Beef,"Beef, baby food, NS as to strained or junior",21701000,2.43,51,37.6,12.03,0,82.44,0.95,0.16,1.18,2.52,0
Beef,"Beef, baby food, strained",21701010,2.43,51,37.6,12.03,0,82.44,0.95,0.16,1.18,2.52,0
Beef,"Beef, baby food, junior",21701020,2.43,51,37.6,12.03,0,82.44,0.95,0.16,1.18,2.52,0
Pork,"Pork, NS as to cut, cooked, NS as to fat eaten",22000100,0,84,74.6,27.69,0,59.13,5.068,1.578,3.274,10.5,1
Pork,"Pork, NS as to cut, cooked, lean and fat eaten",22000110,0,84,74.6,27.69,0,59.13,5.068,1.578,3.274,10.5,1
Pork,"Pork, NS as to cut, cooked, lean only eaten",22000120,0.09,81,77.5,29.13,0,63.43,1.931,0.49,1.537,4.55,0
Pork,"Pork, NS as to cut, fried, NS as to fat eaten",22000200,0,84,74.6,27.69,0,59.13,5.068,1.578,3.274,10.5,1
Pork,"Pork, NS as to cut, fried, lean and fat eaten",22000210,0,84,74.6,27.69,0,59.13,5.068,1.578,3.274,10.5,1
Pork,"Pork, NS as to cut, fried, lean only eaten",22000220,0.09,81,77.5,29.13,0,63.43,1.931,0.49,1.537,4.55,0
Pork,"Pork, NS as to cut, breaded or floured, fried, NS as to fat eaten",22000300,16.26,96,84.1,25,1.43,44.79,4.412,3.399,2.48,11.21,17
Pork,"Pork, NS as to cut, breaded or floured, fried, lean and fat eaten",22000310,16.2,98,82,23.97,1.43,41.73,6.642,4.172,3.715,15.44,17
Pork,"Pork, NS as to cut, breaded or floured, fried, lean only eaten",22000320,16.26,96,84.1,25,1.43,44.79,4.412,3.399,2.48,11.21,17
Pork,"Pork, pickled, NS as to cut",22001000,0.01,83,44.5,11.63,0,75,5.677,0.784,2.945,10.02,11
Pork,"Pork, ground or patty, cooked",22002000,0,93,87.6,25.48,0,52.31,9.173,1.854,7.656,20.6,2
Pork,"Pork, ground or patty, breaded, cooked",22002100,10.53,67,65.4,20.3,1.24,44.83,9.736,4.613,6.628,22.72,6
Pork jerky,Pork jerky,22002800,11,48,109.1,33.2,9,23.36,11.305,1.011,10.85,25.6,0
Pork chop,"Pork chop, NS as to cooking method, NS as to fat eaten",22101000,0,84,74.6,27.69,0,59.13,5.068,1.578,3.274,10.5,1
Pork chop,"Pork chop, NS as to cooking method, lean and fat eaten",22101010,0,84,74.6,27.69,0,59.13,5.068,1.578,3.274,10.5,1
Pork chop,"Pork chop, NS as to cooking method, lean only eaten",22101020,0.09,81,77.5,29.13,0,63.43,1.931,0.49,1.537,4.55,0
Pork chop,"Pork chop, broiled or baked, NS as to fat eaten",22101100,0,84,74.6,27.69,0,59.13,5.068,1.578,3.274,10.5,1
Pork chop,"Pork chop, broiled or baked, lean and fat eaten",22101110,0,84,74.6,27.69,0,59.13,5.068,1.578,3.274,10.5,1
Pork chop,"Pork chop, broiled or baked, lean only eaten",22101120,0.09,81,77.5,29.13,0,63.43,1.931,0.49,1.537,4.55,0
Pork chop,"Pork chop, breaded or floured, broiled or baked, NS as to fat eaten",22101130,8.82,77,69.5,26.78,0.76,51.42,4.728,1.685,3.121,10.19,1
Pork chop,"Pork chop, breaded or floured, broiled or baked, lean and fat eaten",22101140,8.82,77,69.5,26.78,0.76,51.42,4.728,1.685,3.121,10.19,1
Pork chop,"Pork chop, breaded or floured, broiled or baked, lean only eaten",22101150,8.9,74,72.2,28.09,0.76,55.33,1.879,0.697,1.543,4.78,0
Pork chop,"Pork chop, fried, NS as to fat eaten",22101200,0,84,74.6,27.69,0,59.13,5.068,1.578,3.274,10.5,1
Pork chop,"Pork chop, fried, lean and fat eaten",22101210,0,84,74.6,27.69,0,59.13,5.068,1.578,3.274,10.5,1
Pork chop,"Pork chop, fried, lean only eaten",22101220,0.09,81,77.5,29.13,0,63.43,1.931,0.49,1.537,4.55,0
Pork chop,"Pork chop, breaded or floured, fried, NS as to fat eaten",22101300,16.2,98,82,23.97,1.43,41.73,6.642,4.172,3.715,15.44,17
Pork chop,"Pork chop, breaded or floured, fried, lean and fat eaten",22101310,16.2,98,82,23.97,1.43,41.73,6.642,4.172,3.715,15.44,17
Pork chop,"Pork chop, breaded or floured, fried, lean only eaten",22101320,16.26,96,84.1,25,1.43,44.79,4.412,3.399,2.48,11.21,17
Pork chop,"Pork chop, battered, fried, NS as to fat eaten",22101400,12.77,70,62.7,22.6,1.52,47.3,6.668,3.195,4.234,14.99,4
Pork chop,"Pork chop, battered, fried, lean and fat eaten",22101410,12.77,70,62.7,22.6,1.52,47.3,6.668,3.195,4.234,14.99,4
Pork chop,"Pork chop, battered, fried, lean only eaten",22101420,12.83,68,64.9,23.67,1.52,50.48,4.344,2.389,2.947,10.58,3
Pork chop,"Pork chop, stewed, NS as to fat eaten",22101500,0,84,74.6,27.69,0,59.13,5.068,1.578,3.274,10.5,1
Pork chop,"Pork chop, stewed, lean and fat eaten",22101510,0,84,74.6,27.69,0,59.13,5.068,1.578,3.274,10.5,1
Pork chop,"Pork chop, stewed, lean only eaten",22101520,0.09,81,77.5,29.13,0,63.43,1.931,0.49,1.537,4.55,0
Pork chop,"Pork chop, smoked or cured, cooked, NS as to fat eaten",22107000,0,58,79.8,20.43,0,54.73,10.14,2.32,7.67,21.35,0
Pork chop,"Pork chop, smoked or cured, cooked, lean and fat eaten",22107010,0,58,79.8,20.43,0,54.73,10.14,2.32,7.67,21.35,0
Pork chop,"Pork chop, smoked or cured, cooked, lean only eaten",22107020,0,48,101.4,24.94,0,63.86,3.23,0.81,2.36,7.04,0
Pork steak or cutlet,"Pork steak or cutlet, NS as to cooking method, NS as to fat eaten",22201000,0.06,82,96.4,22.96,0,58.69,6.683,2.049,5.581,15.86,1
Pork steak or cutlet,"Pork steak or cutlet, NS as to cooking method, lean and fat eaten",22201010,0.06,82,96.4,22.96,0,58.69,6.683,2.049,5.581,15.86,1
Pork steak or cutlet,"Pork steak or cutlet, NS as to cooking method, lean only eaten",22201020,0.07,79,103.5,24.61,0,65.23,3.226,0.805,2.595,7.42,0
Pork steak or cutlet,"Pork steak or cutlet, battered, fried, NS as to fat eaten",22201050,7.61,74,84.8,19.87,1.32,52.76,7.309,2.989,5.694,17.54,5
Pork steak or cutlet,"Pork steak or cutlet, battered, fried, lean and fat eaten",22201060,7.61,74,84.8,19.87,1.32,52.76,7.309,2.989,5.694,17.54,5
Pork steak or cutlet,"Pork steak or cutlet, battered, fried, lean only eaten",22201070,7.62,72,90.5,21.19,1.32,57.99,4.541,1.993,3.303,10.78,4
Pork steak or cutlet,"Pork steak or cutlet, broiled or baked, NS as to fat eaten",22201100,0.06,82,96.4,22.96,0,58.69,6.683,2.049,5.581,15.86,1
Pork steak or cutlet,"Pork steak or cutlet, broiled or baked, lean and fat eaten",22201110,0.06,82,96.4,22.96,0,58.69,6.683,2.049,5.581,15.86,1
Pork steak or cutlet,"Pork steak or cutlet, broiled or baked, lean only eaten",22201120,0.07,79,103.5,24.61,0,65.23,3.226,0.805,2.595,7.42,0
